
|ID|SPECIES|LEK|SEX|AGE|STATE|WEIGHT|HABITAT|DPS|DATE|YEAR|
|F227|Tympanuchus pallidicinctus|B10|Male|Adult|Texas|747|SSOPR|Southern|4/3/10|2010|
|F228|Tympanuchus pallidicinctus|R8/RW2|Male|Adult|Texas|730|SSOPR|Southern|5/30/09|2009|
|F229|Tympanuchus pallidicinctus|B10|Male|Adult|Texas|812|SSOPR|Southern|3/27/10|2010|
|F230|Tympanuchus pallidicinctus|TNC17|Male|Adult|Texas|765|SSOPR|Southern|4/15/09|2009|
|F231|Tympanuchus pallidicinctus|TNC1|Female|Adult|Texas|810|SSOPR|Southern|4/19/09|2009|
|F232|Tympanuchus pallidicinctus|M1|Male|Adult|Texas||SSOPR|Southern|4/17/10|2010|
|F233|Tympanuchus pallidicinctus|B5|Male|Adult|Texas|796|SSOPR|Southern|4/10/10|2010|
|F234|Tympanuchus pallidicinctus|R4|Male|Adult|Texas|733|SSOPR|Southern|4/17/10|2010|
|F235|Tympanuchus pallidicinctus|TNC1|Female|Juvenile|Texas|688|SSOPR|Southern|4/6/10|2010|
|F236|Tympanuchus pallidicinctus|R4|Male|Adult|Texas|691|SSOPR|Southern|4/24/10|2010|
|F237|Tympanuchus pallidicinctus|M1|Male|Juvenile|Texas|721|SSOPR|Southern|4/16/10|2010|
|F239|Tympanuchus pallidicinctus|M1|Male|Adult|Texas|740|SSOPR|Southern|4/19/10|2010|
|F240|Tympanuchus pallidicinctus|B5|Male|Adult|Texas|801|SSOPR|Southern|4/10/10|2010|
|F242|Tympanuchus pallidicinctus|B10|Male|Adult|Texas|708|SSOPR|Southern|4/10/10|2010|
|F243|Tympanuchus pallidicinctus|TNC1|Female|Juvenile|Texas|680|SSOPR|Southern|4/6/10|2010|
|F245|Tympanuchus pallidicinctus|M1|Female|Juvenile|Texas|661|SSOPR|Southern|4/18/10|2010|
|F246|Tympanuchus pallidicinctus|R9|Male|Adult|Texas|665|SSOPR|Southern|4/23/10|2010|
|F247|Tympanuchus pallidicinctus|R4|Male|Juvenile|Texas|681|SSOPR|Southern|4/17/10|2010|
|F248|Tympanuchus pallidicinctus|R5|Male|Adult|Texas|755|SSOPR|Southern|4/27/10|2010|
|F249|Tympanuchus pallidicinctus|R9|Male|Adult|Texas|674|SSOPR|Southern|4/26/10|2010|
|F250|Tympanuchus pallidicinctus|R2|Male|Adult|Texas|773|SSOPR|Southern|4/18/10|2010|
|F251|Tympanuchus pallidicinctus|B5|Male|Adult|Texas|691|SSOPR|Southern|4/16/10|2010|
|F252|Tympanuchus pallidicinctus|R2|Male|Adult|Texas|734|SSOPR|Southern|3/17/10|2010|
|F253|Tympanuchus pallidicinctus|TNC1|Male|Adult|Texas|791|SSOPR|Southern|4/16/10|2010|
|F254|Tympanuchus pallidicinctus|M1|Male|Adult|Texas|797|SSOPR|Southern|4/17/10|2010|
|F255|Tympanuchus pallidicinctus|R9|Male|Juvenile|Texas|717|SSOPR|Southern|4/26/10|2010|
|F256|Tympanuchus pallidicinctus|H5|Male|Adult|Texas|721|SSOPR|Southern|5/2/10|2010|
|F257|Tympanuchus pallidicinctus|H4|Male|Adult|Texas|761|SSOPR|Southern|5/1/10|2010|
|F258|Tympanuchus pallidicinctus|H5|Male|Adult|Texas|748|SSOPR|Southern|5/2/10|2010|
|F259|Tympanuchus pallidicinctus|M1|Male|Juvenile|Texas|672|SSOPR|Southern|4/17/10|2010|
|F260|Tympanuchus pallidicinctus|TNC1|Male|Adult|Texas|742|SSOPR|Southern|4/17/10|2010|
|F261|Tympanuchus pallidicinctus|R9|Male|Juvenile|Texas|625|SSOPR|Southern|4/27/10|2010|
|F262|Tympanuchus pallidicinctus|R4|Male|Adult|Texas|860|SSOPR|Southern|4/9/10|2010|
|F264|Tympanuchus pallidicinctus|R5|Male|Adult|Texas|758|SSOPR|Southern|||
|F266|Tympanuchus pallidicinctus|R4|Male|Juvenile|Texas|825|SSOPR|Southern|3/20/08|2008|
|F270|Tympanuchus pallidicinctus|4|Male|Adult|Texas|753|SSOPR|Southern|||
|F271|Tympanuchus pallidicinctus|TNC1|Female|Juvenile|Texas|730|SSOPR|Southern|||
